task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	66/517ca0	32312	CUTADAPT_3PRIME (CUTADAPT_3PRIME on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:16.311	628ms	0ms	116.2%	12.8 MB	16.6 MB	2.4 MB	21.1 KB
3	77/943954	32371	TRIMMOMATIC (TRIMMOMATIC on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:16.969	1.7s	0ms	253.3%	10.2 MB	34.1 MB	3.1 MB	24.1 KB
2	e2/b44c60	32292	FASTQC_raw (FASTQC on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:16.299	2.7s	2s	121.0%	318.1 MB	3.7 GB	11.2 MB	4.9 MB
4	37/de0bf3	32437	BOWTIE2 (bowtie2 on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:18.640	780ms	0ms	154.5%	10.8 MB	14.7 MB	64.4 MB	201.1 KB
7	57/7ee3d4	32538	SAMTOOLS_BAM2SAM (samtools_samtobam on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:19.438	592ms	12ms	53.3%	3.1 MB	4.2 MB	120.7 KB	21.8 KB
6	6c/1e0a87	32547	CUTADAPT_5PRIME (CUTADAPT_5PRIME on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:19.443	745ms	0ms	111.4%	11.2 MB	14.8 MB	2.4 MB	43.7 KB
8	db/cae772	32621	SAMTOOLS_SORT (samtools_sort on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:20.048	571ms	14ms	51.6%	3 MB	4.2 MB	90.8 KB	21.8 KB
11	0d/0f9895	32759	SAMTOOLS_INDEX (samtools_index on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:20.639	682ms	10ms	61.5%	3 MB	4.2 MB	90.7 KB	2.7 KB
12	e2/137ee9	32749	SAMTOOLS_REHEADER (samtools_reheader on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:20.632	797ms	14ms	51.6%	3.1 MB	4.2 MB	126.2 KB	45.6 KB
5	bf/8778f7	32425	FASTQC_trim (FASTQC on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:18.633	2.9s	2s	131.9%	276.2 MB	3.7 GB	11.2 MB	5 MB
9	f1/77ab97	32666	KRAKEN2 (kraken2 on test_2971_S1_L001_EuPathDB)	COMPLETED	0	2026-05-06 10:44:20.205	1.7s	1s	135.3%	10.4 MB	14.3 MB	621.3 MB	4.1 KB
10	be/656cd0	32676	KRAKEN2 (kraken2 on test_2971_S1_L001_PlusPF)	COMPLETED	0	2026-05-06 10:44:20.210	1.7s	1s	127.5%	10.4 MB	14.3 MB	621.3 MB	4.1 KB
13	ff/ea7f84	32847	PICARD_INSERTSIZE (picard_insertsize on test_2971_S1_L001)	COMPLETED	0	2026-05-06 10:44:21.442	5.5s	1s	342.1%	6.2 MB	8.6 MB	17.9 MB	691.6 KB
14	a3/7f615c	32946	MULTIQC (multiqc)	COMPLETED	0	2026-05-06 10:44:27.066	1.8s	1.2s	76.9%	84.4 MB	791 MB	168.1 MB	2.7 MB
